Model,Scenario,AUC,Gini,KS,Mean PD,Mean EL
LR (WoE+Scorecard),Baseline,0.7177,0.4355,0.3637,0.2317,0.1043
Random Forest,Baseline,0.7513,0.5026,0.3997,0.2615,0.1177
XGBoost,Baseline,0.7415,0.483,0.3661,0.2011999934911728,0.09049999713897705
LightGBM,Baseline,0.7305,0.4609,0.3684,0.2862,0.1288
MLP,Baseline,0.7288,0.4575,0.3678,0.2944,0.1325
LR (WoE+Scorecard),Mild Stress,0.7213,0.4426,0.3665,0.2806,0.1263
Random Forest,Mild Stress,0.7391,0.4782,0.3915,0.3393,0.1527
XGBoost,Mild Stress,0.7375,0.4751,0.3757,0.271699994802475,0.12229999899864197
LightGBM,Mild Stress,0.7378,0.4755,0.4033,0.3321,0.1495
MLP,Mild Stress,0.7136,0.4273,0.3296,0.3844,0.173
LR (WoE+Scorecard),Severe Stress,0.7003,0.4006,0.3175,0.3874,0.1743
Random Forest,Severe Stress,0.6846,0.3691,0.293,0.4603,0.2071
XGBoost,Severe Stress,0.7046,0.4092,0.322,0.33869999647140503,0.15240000188350677
LightGBM,Severe Stress,0.6774,0.3547,0.2495,0.4847,0.2181
MLP,Severe Stress,0.7055,0.411,0.3058,0.522,0.2349
